longitude, latitude, altitude, speed, course, date, time, satellites, AcX, AcY, AcZ, Tmp, GyX, GyY, GyZ
-122.316276,47.663822,259.2,1.2,48.5,90817,9381500,7,1792,-796,15256,23.89,-23,-1504,5009
-122.316276,47.663829,258.5,1.2,48.5,90817,9381600,7,2172,-772,5948,23.84,1413,4992,-908
-122.316284,47.663837,258.2,1.2,48.5,90817,9381700,7,5928,396,21312,23.84,-1028,5685,-2116
-122.316284,47.663837,258.2,0.7,64.3,90817,9381700,7,2332,856,9404,23.70,-1962,1235,-1966
-122.316291,47.663848,257.5,0.7,64.3,90817,9381800,7,2592,596,19580,23.75,37,-861,1979
-122.316299,47.663852,256.6,0.7,64.3,90817,9381900,7,2360,-1000,14588,23.75,36,210,804
-122.316307,47.663852,255.9,0.7,64.3,90817,9382000,7,-568,676,7440,23.75,2756,7879,-1428
-122.316307,47.663856,255.9,0.7,64.3,90817,9382100,8,1024,2784,16252,23.70,1739,-4384,-3808
-122.316314,47.663860,256.2,0.7,64.3,90817,9382200,8,736,516,14648,23.75,1784,515,1246
-122.316314,47.663860,256.2,0.2,260.5,90817,9382200,8,5392,1068,21188,23.65,-2651,-2459,-1528
-122.316329,47.663867,256.6,0.2,260.5,90817,9382300,8,744,224,17844,23.75,192,2611,2096
-122.316337,47.663871,256.2,0.2,260.5,90817,9382400,8,2456,136,13956,23.75,-2405,-2005,-36
-122.316337,47.663871,255.9,0.2,260.5,90817,9382500,8,2844,-208,16488,23.65,-161,665,-1131
-122.316352,47.663879,256.6,0.2,260.5,90817,9382600,8,3460,-1136,16432,23.65,-3961,-848,1255
-122.316352,47.663883,256.6,0.2,260.5,90817,9382700,8,3928,556,15168,23.79,-482,1479,-1420
-122.316352,47.663883,256.6,0.7,359.9,90817,9382700,8,3748,-388,16076,23.70,-1033,-848,606
-122.316360,47.663890,256.6,0.7,359.9,90817,9382800,8,2896,76,15092,23.79,1272,2159,-954
-122.316368,47.663898,256.9,0.7,359.9,90817,9382900,8,2436,-52,16308,23.70,-912,588,986
-122.316368,47.663902,256.9,0.7,359.9,90817,9383000,8,2632,320,15644,23.75,-96,-294,388
-122.316375,47.663909,256.6,0.7,359.9,90817,9383100,8,2968,424,15772,23.70,-145,109,230
-122.316390,47.663913,256.2,0.7,359.9,90817,9383200,8,2920,488,15896,23.84,-270,258,421
-122.316390,47.663913,256.2,1.3,305.2,90817,9383200,8,3136,328,15796,23.84,68,608,385
-122.316398,47.663921,255.9,1.3,305.2,90817,9383300,8,2192,404,15488,23.84,104,498,215
-122.316413,47.663928,255.6,1.3,305.2,90817,9383400,8,2064,164,15888,23.84,-185,415,605
-122.316421,47.663932,255.2,1.3,305.2,90817,9383500,8,2108,204,16060,23.79,-226,46,688
-122.316429,47.663936,255.2,1.3,305.2,90817,9383600,8,1460,184,16868,23.79,-1097,871,1381
-122.316429,47.663940,254.9,1.3,305.2,90817,9383700,8,2132,-592,16632,24.03,-2022,-911,1285
-122.316429,47.663940,254.9,1.2,349.5,90817,9383700,8,2376,-1284,15848,23.84,676,195,53
-122.316436,47.663948,254.6,1.2,349.5,90817,9383800,8,3160,60,15840,23.94,370,-92,1014
-122.316429,47.663978,257.5,1.2,349.5,90817,9383900,8,3376,-580,15528,23.98,-889,251,865
-122.316429,47.663990,260.8,1.2,349.5,90817,9384000,8,2860,-760,15544,23.94,310,-362,-625
-122.316436,47.663990,261.2,1.2,349.5,90817,9384100,8,3116,-572,15220,24.03,-277,1343,-885
-122.316436,47.663990,260.8,1.2,349.5,90817,9384200,8,3564,-964,15836,24.17,-304,-477,1252
-122.316436,47.663990,260.8,0.5,69.4,90817,9384200,8,3408,-548,15308,24.08,535,107,-101
-122.316444,47.663986,260.5,0.5,69.4,90817,9384300,8,3384,-320,15628,24.03,-674,463,703
-122.316444,47.663982,259.8,0.5,69.4,90817,9384400,8,3240,-704,15628,24.12,-371,282,98
-122.316444,47.663978,259.8,0.5,69.4,90817,9384500,8,3324,-220,15724,24.12,-271,279,270
-122.316436,47.663978,259.8,0.5,69.4,90817,9384600,8,3028,-268,15524,24.17,-502,485,336
-122.316436,47.663982,261.5,0.5,69.4,90817,9384700,8,3440,-436,15924,24.08,-43,128,183
-122.316436,47.663982,260.8,0.5,69.4,90817,9384800,8,3264,-220,15688,24.17,140,120,380
-122.316436,47.663978,260.5,0.5,69.4,90817,9384900,7,3504,-384,15624,24.26,63,103,375
-122.316429,47.663978,260.2,0.5,69.4,90817,9385000,7,3448,-312,15792,24.22,-348,365,195
-122.316429,47.663978,260.2,0.5,69.4,90817,9385100,8,3260,-504,15816,24.31,-30,109,253
-122.316429,47.663978,260.2,0.5,69.4,90817,9385200,7,3416,16,15580,24.36,158,136,277
-122.316429,47.663978,260.2,0.8,137.3,90817,9385200,7,3696,-124,15624,24.26,-148,14,115
-122.316436,47.663982,259.8,0.8,137.3,90817,9385300,8,3668,-340,15760,24.36,242,22,382
-122.316444,47.663990,259.5,0.8,137.3,90817,9385400,8,3860,-256,15596,24.31,-126,185,247
-122.316452,47.663997,260.2,0.8,137.3,90817,9385500,8,4068,-352,15456,24.41,-712,721,501
-122.316459,47.664012,262.5,0.8,137.3,90817,9385600,7,3784,-492,15528,24.45,651,-153,-355
-122.316459,47.664020,264.8,0.8,137.3,90817,9385700,7,3712,-328,15672,24.45,37,243,423
-122.316459,47.664020,264.8,1.0,341.5,90817,9385700,7,3816,-268,15424,24.41,59,-154,52
-122.316467,47.664028,267.4,1.0,341.5,90817,9385800,7,4012,-344,15536,24.36,103,39,337
-122.316474,47.664043,270.0,1.0,341.5,90817,9385900,7,4068,-272,15416,24.36,-61,631,481
-122.316490,47.664054,273.0,1.0,341.5,90817,9390000,7,3912,-260,15728,24.36,-204,-17,245
-122.316497,47.664062,276.2,1.0,341.5,90817,9390100,7,3876,-256,15276,24.26,-76,192,286
-122.316513,47.664070,278.9,1.0,341.5,90817,9390200,7,4204,-344,15440,24.31,-254,-56,276
-122.316513,47.664070,278.9,1.0,324.4,90817,9390200,7,4384,-268,15724,24.31,525,-91,288
-122.316513,47.664062,281.2,1.0,324.4,90817,9390300,8,4068,-256,15256,24.31,-535,433,26
-122.316513,47.664062,283.1,1.0,324.4,90817,9390400,7,3892,-288,15572,24.31,-276,324,215
-122.316513,47.664054,284.8,1.0,324.4,90817,9390500,8,4096,-204,15264,24.41,-201,90,274
-122.316513,47.664047,287.1,1.0,324.4,90817,9390600,7,4200,-220,15420,24.45,-192,562,271
-122.316513,47.664047,287.1,1.0,324.4,90817,9390700,8,3816,-156,15624,24.41,-106,266,374
-122.316505,47.664035,289.4,1.0,324.4,90817,9390800,8,3992,-144,15292,24.45,-169,990,574
-122.316505,47.664028,291.7,1.0,324.4,90817,9390900,7,3984,-208,15508,24.45,-4,173,501
-122.316513,47.664039,294.3,1.0,324.4,90817,9391000,7,4264,-216,15676,24.41,-354,194,207
-122.316513,47.664039,295.9,1.0,324.4,90817,9391100,7,4044,-424,15092,24.55,32,143,181
-122.316513,47.664039,297.6,1.0,324.4,90817,9391200,7,4100,-312,15624,24.55,-188,171,496
-122.316513,47.664031,298.9,1.0,324.4,90817,9391300,8,4132,-236,15864,24.55,-41,470,248
-122.316520,47.664028,300.5,1.0,324.4,90817,9391400,7,4032,-148,15432,24.45,-71,145,198
-122.316520,47.664028,300.5,1.0,324.4,90817,9391500,7,4292,-276,15384,24.41,-122,303,218
-122.316520,47.664031,300.9,1.0,324.4,90817,9391600,7,4188,-324,15428,24.50,128,312,344
-122.316520,47.664031,300.9,1.0,324.4,90817,9391700,7,4196,-384,15516,24.55,26,170,271
-122.316520,47.664031,300.9,0.4,312.1,90817,9391700,7,4212,-372,15460,24.59,-234,535,560
-122.316520,47.664031,300.9,0.4,312.1,90817,9391800,8,4472,-472,15488,24.50,-44,488,427
-122.316520,47.664031,300.9,0.4,312.1,90817,9391900,8,4448,-120,15628,24.69,381,351,288
-122.316520,47.664028,300.9,0.4,312.1,90817,9392000,8,3932,164,15492,24.69,64,901,227
-122.316497,47.664009,302.8,0.4,312.1,90817,9392100,8,4000,60,15680,24.64,-177,154,479
-122.316482,47.663990,304.1,0.4,312.1,90817,9392200,8,4060,356,15652,24.55,-19,797,473
-122.316482,47.663990,304.1,0.8,163.8,90817,9392200,8,4592,592,15592,24.55,-755,35,655
-122.316490,47.663990,304.1,0.8,163.8,90817,9392300,8,4344,-72,15508,24.59,-182,221,195
-122.316490,47.663993,304.1,0.8,163.8,90817,9392400,8,4504,-204,15396,24.50,-203,79,219
-122.316497,47.663997,304.1,0.8,163.8,90817,9392500,8,4544,-144,15500,24.69,-233,100,617
-122.316490,47.663990,304.1,0.8,163.8,90817,9392600,8,4464,-128,15388,24.69,106,368,88
-122.316490,47.663990,304.1,0.8,163.8,90817,9392700,8,4132,-60,15320,24.55,47,316,123
-122.316490,47.663990,304.1,0.3,6.0,90817,9392700,8,4160,-32,15604,24.59,10,91,289
-122.316497,47.663990,304.1,0.3,6.0,90817,9392800,8,4116,-92,15552,24.55,35,236,212
-122.316497,47.663990,303.8,0.3,6.0,90817,9392900,8,3888,-80,15268,24.50,-129,328,143
-122.316497,47.663997,303.8,0.3,6.0,90817,9393000,8,4132,-264,15552,24.45,-232,-272,-219
-122.316497,47.664001,303.8,0.3,6.0,90817,9393100,8,4668,-140,15736,24.50,-283,1091,865
-122.316497,47.664001,303.8,0.3,6.0,90817,9393200,8,4144,-372,15660,24.45,-633,379,417
-122.316497,47.664001,303.8,0.4,47.8,90817,9393200,8,3144,-276,15032,24.45,-908,480,605
-122.316497,47.664001,303.8,0.4,47.8,90817,9393300,8,3504,64,15112,24.55,-514,638,468
-122.316497,47.664001,303.8,0.4,47.8,90817,9393400,8,4176,-36,15800,24.50,60,-358,354
-122.316497,47.664001,303.8,0.4,47.8,90817,9393500,8,3624,-192,15432,24.55,183,503,1117
-122.316490,47.664001,303.8,0.4,47.8,90817,9393600,8,3548,-452,15736,24.41,-290,152,233
